boxes,frame_index,class_label,bounding_box,confidence_score
59,0044,person,"[2516.37939453125, 202.29812622070312, 3665.319580078125, 2129.326416015625]",0.9429608583450317
60,0045,person,"[2621.7666015625, 193.86767578125, 3642.5126953125, 2143.41552734375]",0.93825364112854
61,0046,person,"[2656.4091796875, 185.8018798828125, 3685.781982421875, 2141.47900390625]",0.9222421646118164
62,0046,train,"[4.21014404296875, 8.11102294921875, 3840.0, 2108.9404296875]",0.38477757573127747
63,0047,person,"[2426.923828125, 221.68487548828125, 3574.4541015625, 2101.758056640625]",0.921990692615509
64,0048,person,"[2532.54638671875, 125.24111938476562, 3627.586669921875, 2134.07470703125]",0.9414517283439636
65,0048,bottle,"[497.68536376953125, 1875.811767578125, 820.92919921875, 2159.301513671875]",0.39642223715782166
66,0048,motorcycle,"[31.0704345703125, 5.521453857421875, 3622.6025390625, 2152.70263671875]",0.3211287260055542
67,0049,person,"[2661.1708984375, 150.9869384765625, 3696.894287109375, 2142.947265625]",0.9333566427230835
68,0050,person,"[2683.001953125, 150.5401611328125, 3680.890869140625, 2130.888671875]",0.9335407018661499
69,0050,bottle,"[510.3661193847656, 1875.2237548828125, 830.963134765625, 2158.6923828125]",0.25589892268180847
70,0051,person,"[2565.2802734375, 147.409423828125, 3629.27001953125, 2136.9150390625]",0.932839035987854
71,0052,person,"[2670.391845703125, 185.423583984375, 3590.94384765625, 2132.35205078125]",0.9244998097419739
72,0052,motorcycle,"[18.218994140625, 6.1307373046875, 3501.084228515625, 2154.75048828125]",0.2892797291278839
73,0053,person,"[2604.5673828125, 162.7628173828125, 3599.76611328125, 2130.741455078125]",0.9282042384147644
74,0053,motorcycle,"[30.67987060546875, 0.3193359375, 3543.3974609375, 2152.484375]",0.25832706689834595
75,0054,person,"[2552.2158203125, 137.93856811523438, 3431.41259765625, 2131.181884765625]",0.9331992268562317
76,0055,motorcycle,"[0.0, 6.5584716796875, 3694.125, 2158.193115234375]",0.6351972222328186
77,0055,motorcycle,"[1584.95849609375, 3.2810211181640625, 2572.288330078125, 770.181396484375]",0.38766995072364807
78,0055,motorcycle,"[249.637939453125, 278.83209228515625, 3717.95361328125, 2151.952392578125]",0.2655821740627289
79,0056,person,"[2472.3212890625, 8.558990478515625, 3838.02197265625, 2070.12890625]",0.9099481105804443
80,0056,motorcycle,"[0.0, 5.854248046875, 3817.29638671875, 2136.335205078125]",0.8322661519050598
81,0057,person,"[2273.269775390625, 121.385009765625, 3367.83837890625, 1983.969970703125]",0.9298361539840698
82,0057,motorcycle,"[40.08746337890625, 5.125946044921875, 3597.1728515625, 2157.0322265625]",0.3535059988498688
83,0058,person,"[2048.38720703125, 153.15774536132812, 3364.9833984375, 2107.868408203125]",0.9314027428627014
84,0058,motorcycle,"[31.45330810546875, 4.51611328125, 3548.25927734375, 2130.376953125]",0.2664746940135956
85,0059,person,"[2143.580078125, 141.86480712890625, 3448.3046875, 2125.927001953125]",0.9391577839851379
86,0059,motorcycle,"[20.0438232421875, 7.05157470703125, 3506.056640625, 2150.089111328125]",0.29680150747299194
87,0060,person,"[2327.41748046875, 122.21392822265625, 3327.12060546875, 2124.131103515625]",0.9303258657455444
88,0060,motorcycle,"[15.681884765625, 7.177459716796875, 3387.50244140625, 2145.7666015625]",0.27842938899993896
89,0061,person,"[2383.51220703125, 77.2174072265625, 3529.59375, 2133.0595703125]",0.9354454278945923
90,0062,person,"[2361.614013671875, 86.00665283203125, 3574.7646484375, 2149.58154296875]",0.938217282295227
91,0063,person,"[2425.46533203125, 140.54534912109375, 3517.691162109375, 2098.88427734375]",0.9378228783607483
92,0064,person,"[2276.4833984375, 167.75271606445312, 3418.1962890625, 1874.9505615234375]",0.9296565651893616
93,0064,motorcycle,"[41.18719482421875, 6.07379150390625, 3509.38623046875, 2160.0]",0.26112258434295654
94,0065,person,"[2340.881103515625, 152.5645751953125, 3529.02099609375, 2008.751220703125]",0.9284600615501404
95,0065,motorcycle,"[9.957275390625, 5.3177490234375, 3467.531982421875, 2134.481689453125]",0.2508423328399658
96,0066,person,"[2332.95458984375, 120.23492431640625, 3526.05810546875, 2130.578125]",0.9478323459625244
97,0067,person,"[2503.80419921875, 161.48501586914062, 3414.3037109375, 2113.697021484375]",0.9422169923782349
98,0067,train,"[0.0, 9.7650146484375, 3735.06884765625, 2160.0]",0.25190290808677673
99,0068,person,"[2521.31591796875, 155.8282470703125, 3472.064208984375, 2125.84716796875]",0.9401516914367676
100,0069,person,"[2502.0361328125, 125.7403564453125, 3536.000244140625, 2104.7431640625]",0.937269926071167
101,0069,motorcycle,"[18.47314453125, 16.2938232421875, 3486.47705078125, 2140.255859375]",0.6792921423912048
102,0070,person,"[2522.92724609375, 143.56109619140625, 3480.375, 2055.290771484375]",0.9359282851219177
103,0070,airplane,"[2.3203125, 11.54974365234375, 3795.22607421875, 2156.756591796875]",0.25406500697135925
104,0071,person,"[2537.075927734375, 193.6226806640625, 3531.128173828125, 2104.834716796875]",0.928131639957428
105,0072,person,"[2439.2158203125, 191.57565307617188, 3657.342041015625, 2114.976806640625]",0.9307547807693481
106,0073,person,"[2153.671875, 209.5887451171875, 3578.9599609375, 2061.34033203125]",0.9415507316589355
107,0074,person,"[2775.3154296875, 134.42138671875, 3828.5625, 2141.74755859375]",0.9417334794998169
108,0075,person,"[2410.380859375, 151.98248291015625, 3702.421875, 2135.13671875]",0.940768837928772
109,0076,person,"[2652.730712890625, 124.39663696289062, 3708.818115234375, 2133.703125]",0.948700487613678
110,0077,person,"[2184.3876953125, 209.3411865234375, 3571.29296875, 2052.352294921875]",0.9346984028816223
111,0077,motorcycle,"[22.8826904296875, 1.446533203125, 3545.49462890625, 2151.9248046875]",0.2785368859767914
112,0078,person,"[2590.87158203125, 164.68606567382812, 3560.687255859375, 2136.911865234375]",0.9224545359611511
113,0079,person,"[2566.7568359375, 194.33724975585938, 3529.5263671875, 2130.6904296875]",0.935479462146759
114,0080,person,"[2533.705810546875, 248.5660400390625, 3470.4716796875, 2136.87744140625]",0.9393109083175659
115,0081,person,"[2565.482666015625, 270.6280517578125, 3512.871826171875, 2138.61376953125]",0.9401675462722778
116,0082,person,"[2699.15966796875, 167.90789794921875, 3787.578125, 2140.867431640625]",0.9455828666687012
117,0083,person,"[2650.349609375, 158.4019775390625, 3640.021728515625, 2137.626708984375]",0.9440585970878601
118,0084,person,"[2704.872802734375, 93.21359252929688, 3760.647216796875, 2134.42578125]",0.9513599872589111
119,0085,person,"[2343.115234375, 79.75543212890625, 3771.344970703125, 2126.88720703125]",0.9521952867507935
120,0085,motorcycle,"[15.0311279296875, 5.66802978515625, 3328.5751953125, 2160.0]",0.3540639579296112
121,0086,person,"[2740.123046875, 45.06353759765625, 3819.43115234375, 2131.06005859375]",0.9429736733436584
122,0087,person,"[2475.96923828125, 86.981689453125, 3710.965576171875, 2131.474609375]",0.9448177814483643
123,0088,person,"[2631.564697265625, 93.76657104492188, 3660.25390625, 2131.74609375]",0.9293635487556458
124,0089,person,"[2869.35546875, 66.75274658203125, 3839.83349609375, 2134.705810546875]",0.9537820219993591
125,0089,motorcycle,"[35.26904296875, 14.7257080078125, 2990.351806640625, 2147.6884765625]",0.2602137327194214
126,0091,person,"[2716.747314453125, 81.34991455078125, 3729.66796875, 2132.376708984375]",0.9421358704566956
127,0091,person,"[2714.28271484375, 78.97000122070312, 3735.4482421875, 2132.779541015625]",0.6546730995178223
128,0092,person,"[2589.113525390625, 120.45501708984375, 3444.32373046875, 2127.2763671875]",0.944774329662323
129,0093,person,"[1527.3529052734375, 823.3764038085938, 2402.4765625, 2145.3330078125]",0.6095663905143738
130,0094,person,"[1267.5970458984375, 390.611083984375, 2386.146240234375, 1651.968017578125]",0.8977538347244263
131,0094,suitcase,"[0.7953643798828125, 877.6683349609375, 976.0986328125, 2140.347412109375]",0.599459707736969
132,0094,chair,"[2544.36083984375, 866.8287963867188, 3837.52294921875, 2143.922607421875]",0.40541449189186096
133,0094,suitcase,"[796.8699951171875, 943.0875244140625, 1493.9761962890625, 2147.808837890625]",0.2720203995704651
134,0095,person,"[1718.86181640625, 2.051239013671875, 3358.64208984375, 1108.7310791015625]",0.8553054332733154
135,0095,suitcase,"[1013.8405151367188, 1043.810302734375, 3790.7578125, 2132.4208984375]",0.6998609304428101
136,0095,suitcase,"[941.38720703125, 191.271240234375, 1806.784423828125, 1756.5692138671875]",0.4648449122905731
137,0095,suitcase,"[2643.875, 7.664703369140625, 3836.1298828125, 2069.81494140625]",0.4508804380893707
138,0095,suitcase,"[5.337615966796875, 2.142608642578125, 1380.107421875, 2143.218017578125]",0.40113741159439087
139,0096,person,"[1414.163818359375, 237.9873046875, 2817.83837890625, 1492.0869140625]",0.9129912257194519
140,0096,suitcase,"[0.9905548095703125, 686.9720458984375, 963.13232421875, 2138.47802734375]",0.5609855651855469
141,0096,car,"[90.103271484375, 0.0, 3840.0, 2136.298095703125]",0.4274791479110718
142,0096,suitcase,"[778.8792114257812, 778.6591186523438, 1488.09326171875, 2082.318115234375]",0.3636060655117035
143,0096,boat,"[90.103271484375, 0.0, 3840.0, 2136.298095703125]",0.27383944392204285
144,0097,person,"[1422.5914306640625, 511.01318359375, 2807.06591796875, 1791.060546875]",0.908237099647522
145,0098,train,"[5.08905029296875, 0.0, 3791.01953125, 1758.556640625]",0.9208707809448242
146,0099,train,"[280.1568603515625, 185.85955810546875, 3840.0, 2022.01513671875]",0.6154063940048218
147,0100,person,"[1918.4630126953125, 653.7954711914062, 2933.9248046875, 2146.342041015625]",0.9339993000030518
148,0101,person,"[2432.47412109375, 904.3363037109375, 3837.7216796875, 2139.5986328125]",0.9198551774024963
149,0101,airplane,"[4.46319580078125, 0.47662353515625, 2950.14599609375, 1256.42138671875]",0.6617320775985718
150,0102,person,"[3111.3359375, 1321.498291015625, 3839.0048828125, 2139.61865234375]",0.5386731028556824
151,0104,person,"[1928.827392578125, 522.0157470703125, 3840.0, 2138.338623046875]",0.9240729808807373
152,0105,person,"[2201.17041015625, 518.9987182617188, 3279.59375, 2143.454833984375]",0.9413807392120361
153,0105,refrigerator,"[1758.7562255859375, 683.1747436523438, 2020.74169921875, 1368.9525146484375]",0.26212626695632935
154,0106,umbrella,"[0.0, 36.51708984375, 3685.295654296875, 2106.0927734375]",0.5504258871078491
155,0107,person,"[1934.595458984375, 539.6964721679688, 2784.034423828125, 2140.34619140625]",0.8159245848655701
156,0108,person,"[1959.8206787109375, 217.59686279296875, 3528.254150390625, 2146.7900390625]",0.862410306930542
157,0108,bottle,"[1298.994384765625, 1404.1822509765625, 1392.897216796875, 1612.891357421875]",0.28540053963661194
158,0109,person,"[628.5123291015625, 1175.3045654296875, 3602.1201171875, 2150.35546875]",0.5034037232398987
159,0109,banana,"[0.7762298583984375, 988.4767456054688, 488.78778076171875, 1296.9840087890625]",0.3317287564277649
160,0110,person,"[43.34893798828125, 659.9642944335938, 1562.1046142578125, 2139.850341796875]",0.9036105275154114
161,0110,umbrella,"[2.4308624267578125, 579.19970703125, 516.40966796875, 880.3628540039062]",0.4728672206401825
162,0110,bottle,"[2128.602783203125, 1344.1806640625, 2212.78076171875, 1531.736328125]",0.3689040243625641
163,0111,person,"[7.5505828857421875, 1011.317138671875, 1198.346435546875, 2146.404052734375]",0.8778138160705566
164,0111,umbrella,"[1.2580604553222656, 942.722412109375, 424.8695983886719, 1187.727783203125]",0.25915199518203735
165,0112,person,"[1053.3740234375, 749.9412231445312, 2693.298583984375, 2145.93603515625]",0.9006359577178955
166,0112,bottle,"[1896.3251953125, 1722.667724609375, 2103.3896484375, 2151.54345703125]",0.38766181468963623
167,0113,person,"[1418.3070068359375, 1183.1390380859375, 2700.0927734375, 2155.4345703125]",0.9177332520484924
168,0114,person,"[759.0775146484375, 1071.902099609375, 2108.31396484375, 2142.67138671875]",0.8877366781234741
169,0115,person,"[384.0801086425781, 974.8229370117188, 1484.388671875, 2138.467529296875]",0.9017060995101929
170,0115,bottle,"[3099.9287109375, 1518.2332763671875, 3208.486083984375, 1726.8408203125]",0.2914070188999176
171,0116,person,"[989.7365112304688, 780.9688110351562, 2220.33740234375, 2145.73681640625]",0.9331050515174866
172,0117,person,"[483.1200256347656, 1019.5691528320312, 1593.652587890625, 2148.073486328125]",0.9129968881607056
173,0117,bottle,"[3570.240966796875, 1569.30419921875, 3734.556884765625, 1823.130615234375]",0.342273473739624
174,0118,person,"[3.161865234375, 553.676025390625, 2010.716552734375, 2146.06640625]",0.7200404405593872
175,0118,bottle,"[1926.5986328125, 1640.04052734375, 2150.5703125, 2124.128173828125]",0.2839741110801697
176,0119,person,"[22.553192138671875, 266.40069580078125, 2249.22314453125, 2137.6025390625]",0.4975370466709137
177,0119,person,"[695.2446899414062, 303.68902587890625, 3590.732421875, 2129.880859375]",0.30802130699157715
178,0120,person,"[838.875732421875, 871.5963134765625, 2390.0283203125, 2148.7568359375]",0.9317689538002014
179,0120,airplane,"[105.26165771484375, 3.596832275390625, 3840.0, 1386.099365234375]",0.34644630551338196
180,0120,bottle,"[3476.00390625, 1399.640869140625, 3623.332763671875, 1641.937744140625]",0.3204704225063324
181,0121,person,"[432.84979248046875, 906.8699340820312, 1616.500732421875, 2149.35205078125]",0.929781436920166
182,0121,bottle,"[3497.08349609375, 1429.73046875, 3640.869873046875, 1664.086669921875]",0.4731089770793915
183,0122,person,"[1792.4088134765625, 599.2108154296875, 3034.908203125, 2151.528564453125]",0.9102335572242737
184,0124,person,"[2168.8330078125, 20.47705078125, 3827.68505859375, 2145.3876953125]",0.37271177768707275
185,0124,person,"[2180.814697265625, 81.17449951171875, 3313.8427734375, 2144.85107421875]",0.34357118606567383
186,0126,person,"[595.1015625, 211.790771484375, 1990.193115234375, 2134.367431640625]",0.8501655459403992
187,0126,bottle,"[3681.94140625, 1454.81005859375, 3838.365234375, 1709.447021484375]",0.30170029401779175
188,0127,person,"[1549.132568359375, 837.136962890625, 3008.69677734375, 2144.2568359375]",0.9204732775688171
189,0128,person,"[1.5538101196289062, 1324.040283203125, 911.35888671875, 2143.74560546875]",0.7813247442245483
190,0129,person,"[631.9246826171875, 609.5408935546875, 1644.5526123046875, 2145.54443359375]",0.9335231184959412
191,0130,person,"[1126.2513427734375, 713.2659912109375, 3034.220703125, 2150.562255859375]",0.8924733996391296
192,0130,tv,"[703.6712036132812, 1297.01220703125, 1338.075439453125, 1703.3580322265625]",0.3483788073062897
193,0132,person,"[991.8984375, 362.8147888183594, 3373.402587890625, 2135.14990234375]",0.6140798926353455
194,0132,suitcase,"[3304.8056640625, 1661.830810546875, 3837.711181640625, 2158.6943359375]",0.25277167558670044
195,0134,person,"[1855.7724609375, 795.3929443359375, 3063.587890625, 2143.04248046875]",0.9334890246391296
196,0135,person,"[844.1555786132812, 757.03955078125, 2743.85009765625, 2146.13134765625]",0.9488036036491394
197,0136,person,"[1748.45703125, 877.3236083984375, 3043.39404296875, 2141.65771484375]",0.9375227093696594
198,0136,truck,"[844.56884765625, 1011.8168334960938, 1964.620849609375, 1705.14404296875]",0.2572740316390991
199,0137,person,"[996.9027099609375, 301.15521240234375, 3489.841552734375, 2128.71630859375]",0.67884361743927
200,0137,person,"[1083.990966796875, 188.42147827148438, 3476.7568359375, 2143.23193359375]",0.6387161612510681
201,0138,person,"[1924.1400146484375, 897.371337890625, 3009.166259765625, 2147.42919921875]",0.9357962608337402
202,0139,person,"[2097.1845703125, 792.418212890625, 3455.07861328125, 2144.9677734375]",0.9333487153053284
203,0139,truck,"[879.415283203125, 1017.0313110351562, 1983.004638671875, 1699.942138671875]",0.40204381942749023
204,0140,person,"[235.767333984375, 694.7186279296875, 1756.191650390625, 2145.57275390625]",0.9415422081947327
205,0141,person,"[576.35888671875, 864.2706298828125, 2371.658447265625, 2146.3251953125]",0.9513176679611206
206,0142,person,"[1141.3775634765625, 909.0910034179688, 2244.85205078125, 2147.392578125]",0.9356155395507812
207,0146,person,"[22.549163818359375, 1364.035400390625, 825.6051025390625, 2149.5908203125]",0.6479020118713379
208,0146,elephant,"[0.0, 1.0103302001953125, 3840.0, 2028.47998046875]",0.38676613569259644
209,0147,person,"[2061.29541015625, 1126.7568359375, 3379.471435546875, 2125.823486328125]",0.7319595217704773
210,0148,person,"[2397.85546875, 1304.290771484375, 3267.67041015625, 2148.92822265625]",0.26122453808784485
211,0149,oven,"[53.68963623046875, 0.0, 3840.0, 2152.7158203125]",0.8410451412200928
212,0149,person,"[1420.529296875, 852.8858642578125, 2347.678955078125, 2134.21337890625]",0.46893802285194397
213,0150,spoon,"[1481.262939453125, 191.59909057617188, 2119.968994140625, 1283.5185546875]",0.4793154001235962
214,0150,person,"[387.79779052734375, 1178.26171875, 2211.336669921875, 2131.879638671875]",0.33917108178138733
215,0150,person,"[439.0194396972656, 1182.7799072265625, 2212.77734375, 2133.88671875]",0.25946569442749023
216,0151,motorcycle,"[206.5792236328125, 6.88055419921875, 3840.0, 2155.87548828125]",0.5890045762062073
217,0152,person,"[2.3443450927734375, 764.162353515625, 1439.97412109375, 2149.489501953125]",0.9188175797462463
218,0152,airplane,"[111.45831298828125, 0.0, 3840.0, 1422.037109375]",0.3180851638317108
219,0153,person,"[329.7581787109375, 733.4994506835938, 1830.8082275390625, 2141.1494140625]",0.9453102946281433
220,0153,airplane,"[162.91424560546875, 0.0, 3840.0, 1273.318115234375]",0.4767790138721466
221,0157,person,"[30.59747314453125, 869.63525390625, 1776.493408203125, 2132.01318359375]",0.7498292922973633
222,0157,motorcycle,"[33.7657470703125, 7.221771240234375, 3816.96337890625, 2094.012451171875]",0.5547453761100769
223,0157,person,"[1.9474411010742188, 1745.632568359375, 441.5041809082031, 2156.9541015625]",0.26549437642097473
224,0158,person,"[3.754669189453125, 805.5986938476562, 1553.2957763671875, 2151.55029296875]",0.9280078411102295
225,0158,bottle,"[3047.226318359375, 1455.0032958984375, 3191.61181640625, 1706.409912109375]",0.2869386076927185
226,0158,motorcycle,"[23.9208984375, 0.0, 3840.0, 1197.110107421875]",0.26792261004447937
227,0159,person,"[745.6236572265625, 809.9844970703125, 2511.915283203125, 2143.59521484375]",0.9299243688583374
228,0159,motorcycle,"[125.93902587890625, 0.0, 3840.0, 1175.796875]",0.702786922454834
229,0159,bottle,"[3084.8193359375, 1312.63818359375, 3212.804443359375, 1560.844482421875]",0.34304678440093994
230,0160,person,"[1074.8701171875, 859.5283203125, 2314.5693359375, 2141.761474609375]",0.9425840973854065
231,0160,motorcycle,"[95.26373291015625, 0.0, 3840.0, 1187.464599609375]",0.35889267921447754
232,0160,bottle,"[2992.451171875, 1323.665771484375, 3118.22802734375, 1554.0985107421875]",0.30881503224372864
233,0161,person,"[359.6053161621094, 814.3119506835938, 2065.84326171875, 2142.70947265625]",0.9430841207504272
234,0161,motorcycle,"[25.72430419921875, 0.0, 3840.0, 1163.258056640625]",0.5254430174827576
235,0161,bottle,"[2954.39453125, 1326.73583984375, 3083.47998046875, 1561.6519775390625]",0.30198103189468384
236,0162,person,"[572.8421020507812, 763.6878662109375, 1991.90087890625, 2142.773193359375]",0.9306638836860657
237,0162,motorcycle,"[57.89776611328125, 0.0, 3840.0, 1174.30126953125]",0.48565876483917236
238,0162,tv,"[54.61354064941406, 924.1907958984375, 606.172607421875, 1265.7384033203125]",0.4556087553501129
239,0163,person,"[1225.849853515625, 813.4781494140625, 2410.76025390625, 2141.2744140625]",0.9356878399848938
240,0163,motorcycle,"[69.88641357421875, 0.0, 3840.0, 1036.1346435546875]",0.7454552054405212
241,0163,bottle,"[3325.140380859375, 1223.2001953125, 3469.103759765625, 1513.36669921875]",0.3199723958969116
242,0164,person,"[859.3573608398438, 705.8253173828125, 2281.2275390625, 2150.649658203125]",0.9390810132026672
243,0164,refrigerator,"[3488.42626953125, 765.0150146484375, 3837.6669921875, 2123.54248046875]",0.35225507616996765
244,0164,chair,"[0.01116943359375, 1471.1962890625, 265.6357421875, 2150.496826171875]",0.320476233959198
245,0166,person,"[1521.63623046875, 900.926025390625, 2381.5234375, 2146.9169921875]",0.9305583834648132
246,0166,bottle,"[162.92279052734375, 1714.239990234375, 235.90219116210938, 1872.9649658203125]",0.3263741731643677
247,0166,bottle,"[242.1551971435547, 1722.803466796875, 305.8785400390625, 1876.166748046875]",0.2506225109100342
248,0167,person,"[1193.443359375, 894.5480346679688, 2268.37841796875, 2142.8623046875]",0.9405102133750916
249,0167,airplane,"[35.30950927734375, 13.26104736328125, 3793.40185546875, 1299.487060546875]",0.5350818037986755
250,0167,bottle,"[169.2022705078125, 1714.168701171875, 240.92050170898438, 1870.7215576171875]",0.5025162100791931
251,0168,person,"[1384.179443359375, 871.7327880859375, 3000.62109375, 2152.56103515625]",0.9271281361579895
252,0169,person,"[1071.15283203125, 855.2319946289062, 2327.80615234375, 2146.238525390625]",0.9483633041381836
253,0170,person,"[1173.937744140625, 845.1930541992188, 2148.881103515625, 2143.916259765625]",0.9409309029579163
254,0170,bottle,"[215.4419403076172, 1668.5810546875, 281.5265808105469, 1822.5267333984375]",0.33930104970932007
255,0170,bottle,"[191.1372833251953, 1670.2437744140625, 247.92984008789062, 1812.565673828125]",0.3337114155292511
256,0170,bottle,"[279.99310302734375, 1682.2862548828125, 340.15771484375, 1828.7156982421875]",0.27648043632507324
257,0171,person,"[1469.55859375, 827.7154541015625, 2362.162109375, 2144.6357421875]",0.9353027939796448
258,0171,bottle,"[190.19461059570312, 1652.741943359375, 259.16705322265625, 1801.2740478515625]",0.4934612214565277
